komentar,rating,date,nama_bank,channel,sentimen,text_clean,text_preprocessed
"GAK PAHAM LAGI SAMA JENIUS GAK BISA LOGIN (KARENA RISET HP, BALASANYA GAK BISA LOGIN. GENDENG LAH. DISAAT DIBUTUHKAN SELALU DIPERSULIT. Dari pihak CS nya juga pasti selalu slow respon makanya males hub. CS jenius.",1,2021-08-22 23:34:17,Jenius,Playstore,negatif,gak paham lagi sama jenius gak bisa login karena riset hp balasanya gak bisa login gendeng lah disaat dibutuhkan selalu dipersulit dari pihak cs nya juga pasti selalu slow respon makanya males hub cs jenius,"['gak', 'paham', 'gak', 'login', 'riset', 'hp', 'balasanya', 'gak', 'login', 'gendeng', 'saat', 'butuh', 'sulit', 'cs', 'slow', 'respon', 'males', 'hub', 'cs']"
"Apk apaan ini mo buat rekening gabisa bisa,Malah dibilang udh buat rekening padahal saya pengguna baru,Gajelas bat ni apk padahal nomor hp semua dh benar tetap aja gabisa",1,2021-10-13 0:31:40,Neocommerce,Playstore,negatif,apk apaan ini mo buat rekening gabisa bisamalah dibilang udh buat rekening padahal saya pengguna barugajelas bat ni apk padahal nomor hp semua dh benar tetap aja gabisa,"['mo', 'rekening', 'gabisa', 'bisamalah', 'bilang', 'rekening', 'guna', 'barugajelas', 'bat', 'ni', 'nomor', 'hp', 'dh', 'gabisa']"
"Kereen apps nya nih... Terpercaya, cepat, akurat",5,2021-07-14 7:00:04,TMRW,Playstore,positif,kereen apps nya nih terpercaya cepat akurat,"['kereen', 'percaya', 'cepat', 'akurat']"
"Aplikasi yang sangat memudahkan kita berbagai hal , tetap jaya dan mohon ditingkatkan",5,2021-11-30 12:31:34,Jenius,Playstore,positif,aplikasi yang sangat memudahkan kita berbagai hal  tetap jaya dan mohon ditingkatkan,"['mudah', 'jaya', 'mohon', 'tingkat']"
"jenius, digital bank.. yg bermanfaat.. josss saya suka fitur FLEXSI SAVER.. nabung seperti deposito..",5,2019-02-09 4:21:08,Jenius,Playstore,positif,jenius digital bank yg bermanfaat josss saya suka fitur flexsi saver nabung seperti deposito,"['digital', 'manfaat', 'josss', 'suka', 'fitur', 'flexsi', 'saver', 'nabung', 'deposito']"
Saya nerima transferan dari bank lain d histori berhasil masuk .tapi saldonya tidak muncul d halaman awal ..,5,2021-12-30 13:19:40,Neocommerce,Playstore,netral,saya nerima transferan dari bank lain d histori berhasil masuk tapi saldonya tidak muncul d halaman awal,"['nerima', 'transfer', 'd', 'histori', 'hasil', 'masuk', 'saldo', 'muncul', 'd', 'halaman']"
Daftar 7/9/21.Bagus kok. Recommend . Transfer ke BCA free. Bunganya juga tinggi. Lumayan receh pengisi saldo...,5,2021-10-26 8:37:30,Seabank,Playstore,positif,daftar bagus kok recommend  transfer ke bca free bunganya juga tinggi lumayan receh pengisi saldo,"['daftar', 'bagus', 'recommend', 'transfer', 'free', 'bunga', 'lumayan', 'receh', 'isi', 'saldo']"
mau komfrmasi ni hp sy hilng bagamna ya mengatifkn lg dengn no lain,5,2020-05-04 16:34:43,Jenius,Playstore,netral,mau komfrmasi ni hp sy hilng bagamna ya mengatifkn lg dengn no lain,"['komfrmasi', 'ni', 'hp', 'hilng', 'bagamna', 'mengatifkn', 'lg', 'dengn', 'no']"
Gk bisa buat akun gimana ini,1,2016-11-13 12:37:05,Jenius,Playstore,negatif,gk bisa buat akun gimana ini,"['gk', 'akun', 'gimana']"
tambahin keamanan (verifikasi contohny) kalo login di perangkat baru,5,2021-09-11 9:04:26,Neocommerce,Playstore,netral,tambahin keamanan verifikasi contohny kalo login di perangkat baru,"['tambahin', 'aman', 'verifikasi', 'contohny', 'login', 'perangkat']"
Mantapp,5,2021-06-30 6:21:51,Neocommerce,Playstore,positif,mantapp,['mantapp']
Oke jugaa,3,2021-10-07 10:27:55,Neocommerce,Playstore,positif,oke jugaa,"['oke', 'jugaa']"
Good,5,2021-12-15 18:54:48,Livin,Playstore,positif,good,['good']
Di banding livin lama yg skrg agak ribet pmnbayaran multipayment agak sulit mencari merchant nya..,4,2021-12-15 4:01:22,Livin,Playstore,netral,di banding livin lama yg skrg agak ribet pmnbayaran multipayment agak sulit mencari merchant nya,"['banding', 'ribet', 'pmnbayaran', 'multipayment', 'sulit', 'cari', 'merchant']"
tolong beri pengaman untuk masuk ke aplikasi takut handpone ilang dan aplikasi mudah untuk di akses,5,2021-09-28 12:04:56,Blu,Playstore,netral,tolong beri pengaman untuk masuk ke aplikasi takut handpone ilang dan aplikasi mudah untuk di akses,"['tolong', 'kam', 'masuk', 'takut', 'handpone', 'ilang', 'mudah', 'akses']"
Applikasi sangat membantu,5,2022-01-01 4:03:51,Livin,Playstore,positif,applikasi sangat membantu,"['applikasi', 'bantu']"
"Jenius emng paling mantap mudah di gunakan bisa melakukan transaksi top up , menabung dan aktivasi ya mudah",5,2021-04-29 18:37:32,Jenius,Playstore,positif,jenius emng paling mantap mudah di gunakan bisa melakukan transaksi top up  menabung dan aktivasi ya mudah,"['emng', 'mantap', 'mudah', 'transaksi', 'top', 'up', 'tabung', 'aktivasi', 'mudah']"
Kak gimana ini tidak bisa membuat kata sandi bang?? Tolong beritahu saya dong,2,2022-01-28 4:50:55,Neocommerce,Playstore,netral,kak gimana ini tidak bisa membuat kata sandi bang tolong beritahu saya dong,"['kak', 'gimana', 'sandi', 'tolong', 'beritahu']"
"Bagaimana aplikasi nya kok error' Saldo saya ada di dalam, udah jatuh tempo kok GK ada pemberitahuan lanjut nabung kok, main periode 2 aja langsung...? Gak ada Kejelasan",1,2021-12-02 11:52:19,Neocommerce,Playstore,negatif,bagaimana aplikasi nya kok error saldo saya ada di dalam udah jatuh tempo kok gk ada pemberitahuan lanjut nabung kok main periode  aja langsung gak ada kejelasan,"['error', 'saldo', 'udah', 'jatuh', 'tempo', 'gk', 'pemberitahuan', 'nabung', 'main', 'periode', 'langsung', 'gak', 'jelas']"
Good,5,2021-09-19 10:03:53,Jago,Playstore,positif,good,['good']
is the best,5,2020-01-17 10:36:04,Jenius,Playstore,positif,is the best,"['is', 'the', 'best']"
🏅🏆⭐🏦🕋🎉🎂🎁💍♥️🌈,5,2022-01-17 6:07:36,Livin,Playstore,netral,🏅🏆⭐🏦🕋🎉🎂🎁💍♥️🌈,['']
Bisa liat transfer,5,2021-10-11 15:55:43,Livin,Playstore,netral,bisa liat transfer,"['liat', 'transfer']"
Baik,5,2021-12-30 16:51:32,Livin,Playstore,positif,baik,[]
Andry,5,2016-09-25 7:11:26,Jenius,Playstore,netral,andry,['andry']
"aplikasinya gampang, cepat prosesnya kalo mau transfer dan fitur2 nya menarik",5,2022-01-13 23:06:40,Blu,Playstore,positif,aplikasinya gampang cepat prosesnya kalo mau transfer dan fitur nya menarik,"['aplikasi', 'gampang', 'cepat', 'proses', 'transfer', 'fitur', 'tarik']"
Bnc trimakasih,5,2021-11-24 3:00:02,Neocommerce,Playstore,netral,bnc trimakasih,"['bnc', 'trimakasih']"
Yang pastinya aplikasi ini keren dan bagus kak...,5,2021-08-28 8:28:49,Jenius,Playstore,positif,yang pastinya aplikasi ini keren dan bagus kak,"['pasti', 'keren', 'bagus', 'kak']"
Jenius emang keren. Kamu pengen uang kamu nambah? Cukup ketik cashtag $pras22,5,2017-03-11 6:52:43,Jenius,Playstore,positif,jenius emang keren kamu pengen uang kamu nambah cukup ketik cashtag pras,"['emang', 'keren', 'ken', 'uang', 'nambah', 'ketik', 'cashtag', 'pras']"
"Daftar udah verfikasi identitas ujung2nya suruh ke bank, ditempat saya jauh dari bank bukopin, seharusnya lebih transparan bisa mengirimkan verifikasi ke rumah agar lebih simpel. kalo harus ke bank ngapain surub isi formulir, buang2 waktu saja....",5,2020-08-12 6:20:41,Wokee,Playstore,negatif,daftar udah verfikasi identitas ujungnya suruh ke bank ditempat saya jauh dari bank bukopin seharusnya lebih transparan bisa mengirimkan verifikasi ke rumah agar lebih simpel kalo harus ke bank ngapain surub isi formulir buang waktu saja,"['daftar', 'udah', 'verfikasi', 'identitas', 'ujung', 'suruh', 'tempat', 'bukopin', 'transparan', 'kirim', 'verifikasi', 'rumah', 'simpel', 'ngapain', 'surub', 'isi', 'formulir', 'buang']"
"Masih di pelajari, tapi sudah bagus ga ada kendala kalau semua persyaratan sesuai dengan yang di minta,,sukses bank jago...",4,2022-02-22 14:09:51,Jago,Playstore,positif,masih di pelajari tapi sudah bagus ga ada kendala kalau semua persyaratan sesuai dengan yang di mintasukses bank jago,"['ajar', 'bagus', 'ga', 'kendala', 'syarat', 'sesuai', 'mintasukses']"
"sangat bagus, lebih mudah dan cepat",5,2021-11-20 2:08:47,Livin,Playstore,positif,sangat bagus lebih mudah dan cepat,"['bagus', 'mudah', 'cepat']"
